year,iso3_o,iso3num_o,iso3_d,iso3num_d,tradeflow_comtrade_o,tradeflow_comtrade_d,tradeflow_imf_o,tradeflow_imf_d,contig,distw,comlang_off,comlang_ethno,comcol,col45,comrelig,pop_o,pop_d,gdp_o,gdp_d,gatt_o,gatt_d,wto_o,wto_d,eu_o,eu_d,rugged_popw_o,rugged_popw_d,desert_o,desert_d,tropical_o,tropical_d,island_o,island_d,landlocked_o,landlocked_d,geoscheme_o,geoscheme_d
1980,AFG,4,ARE,784,,19.432,,,0.0,1657.193,0.0,0.0,0.0,0.0,0.942,13180.431,1014.825,3641723.392,43598745.6,0,0,0,0,0,0,1.469,0.316,4.356,77.28,0.0,0.0,0.0,0.0,1.0,0.0,34.0,145.0
1980,AFG,4,AUS,36,,1036.138,,,0.0,11086.141,0.0,0.0,0.0,0.0,0.002,13180.431,14692.0,3641723.392,149679112.2,0,1,0,0,0,0,1.469,0.183,4.356,10.889,0.0,14.68,0.0,1.0,1.0,0.0,34.0,53.0
1980,AFG,4,AUT,40,,4463.696,,,0.0,4567.302,0.0,0.0,0.0,0.0,0.006,13180.431,7549.433,3641723.392,81861230.59,0,1,0,0,0,1,1.469,1.152,4.356,0.0,0.0,0.0,0.0,0.0,1.0,1.0,34.0,155.0
1980,AFG,4,BEL,56,,4979.736,,,0.0,5331.892,0.0,0.0,0.0,0.0,0.011,13180.431,9859.242,3641723.392,127312371.7,0,1,0,0,0,1,1.469,0.261,4.356,0.0,0.0,0.0,0.0,0.0,1.0,0.0,34.0,155.0
1980,AFG,4,BGD,50,,28.085,,,0.0,2488.676,0.0,0.0,0.0,0.0,0.853,13180.431,82498.444,3641723.392,18114646.02,0,1,0,0,0,0,1.469,0.065,4.356,0.0,0.0,75.038,0.0,0.0,1.0,0.0,34.0,34.0
1980,AFG,4,BOL,68,,1.358,,,0.0,15100.649,0.0,0.0,0.0,0.0,0.0,13180.431,5368.901,3641723.392,4537487.872,0,0,0,0,0,0,1.469,0.911,4.356,0.0,0.0,64.878,0.0,0.0,1.0,1.0,34.0,5.0
1980,AFG,4,CAN,124,,154.479,,,0.0,10516.293,0.0,0.0,0.0,0.0,0.006,13180.431,24593.0,3641723.392,273436835.8,0,1,0,0,0,0,1.469,0.37,4.356,0.0,0.0,0.0,0.0,0.0,1.0,0.0,34.0,21.0
1980,AFG,4,CHE,756,,12914.789,,,0.0,5136.085,0.0,0.0,0.0,0.0,0.003,13180.431,6319.408,3641723.392,118710313.0,0,1,0,0,0,0,1.469,1.45,4.356,0.0,0.0,0.0,0.0,0.0,1.0,1.0,34.0,155.0
1980,AFG,4,COG,178,,124.837,,,0.0,7110.932,0.0,0.0,0.0,0.0,0.004,13180.431,1796.412,3641723.392,1705796.864,0,1,0,0,0,0,1.469,0.411,4.356,0.0,0.0,100.0,0.0,0.0,1.0,0.0,34.0,17.0
1980,AFG,4,COL,170,,2.821,,,0.0,14072.284,0.0,0.0,0.0,0.0,0.002,13180.431,26934.591,3641723.392,33400711.17,0,0,0,0,0,0,1.469,0.89,4.356,0.0,0.0,89.763,0.0,0.0,1.0,0.0,34.0,5.0
