"year","iso3_o","iso3_d","iso3num_o","iso3num_d","country_exists_o","country_exists_d","gmt_offset_2020_o","gmt_offset_2020_d","contig","dist","distw","distcap","distwces","dist_source","comlang_off","comlang_ethno","comcol","comrelig","col45","legal_old_o","legal_old_d","legal_new_o","legal_new_d","comleg_pretrans","comleg_posttrans","transition_legalchange","heg_o","heg_d","col_dep_ever","col_dep","col_dep_end_year","col_dep_end_conflict","empire","sibling_ever","sibling","sever_year","sib_conflict","pop_o","pop_d","gdp_o","gdp_d","gdpcap_o","gdpcap_d","pop_source_o","pop_source_d","gdp_source_o","gdp_source_d","gdp_ppp_o","gdp_ppp_d","gdpcap_ppp_o","gdpcap_ppp_d","pop_pwt_o","pop_pwt_d","gdp_ppp_pwt_o","gdp_ppp_pwt_d","gatt_o","gatt_d","wto_o","wto_d","eu_o","eu_d","rta","rta_coverage","rta_type","entry_cost_o","entry_cost_d","entry_proc_o","entry_proc_d","entry_time_o","entry_time_d","entry_tp_o","entry_tp_d","tradeflow_comtrade_o","tradeflow_comtrade_d","tradeflow_baci","manuf_tradeflow_baci","tradeflow_imf_o","tradeflow_imf_d"
2018,"ABW","AFG",533,4,1,1,-4,4.5,0,13257.814,13168.224,13257.814,13166.367,1,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,,,"",0,0,,,105.845,37172.386,,18353881.13,,0.494,,,,,,77442045.726,,2.083,,,,,0,0,0,1,0,0,0,0,6,,6.4,,4,,8.5,,12.5,,1062.415,2030.283,2030.283,,
1989,"ABW","AIA",533,660,1,1,-4,-4,0,983.268,976.897,983.268,976.892,1,0,1,0,,0,1,,1,2,0,0,0,0,0,0,0,,,"",0,0,,,61.032,8.113,,,,,1,2,,,,,,,61.032,7.965,2276788.25,167200.281,0,0,0,0,0,0,1,1,4,,,,,,,,,1.676,,,,,
2008,"ABW","AIA",533,660,1,1,-4,-4,0,983.268,976.897,983.268,976.892,1,0,1,0,,0,1,,1,2,0,0,0,0,0,0,0,,,"",0,0,,,101.344,14.108,2791960.832,,27.549,,1,2,1,,,,,,101.353,13.36,4597615,523846.625,0,0,0,0,0,0,1,1,4,,,,,,,,,,5.084,,,,5.088
2009,"ABW","AIA",533,660,1,1,-4,-4,0,983.268,976.897,983.268,976.892,1,0,1,0,,0,1,,1,2,0,0,0,0,0,0,0,,,"",0,0,,,101.418,14,2498932.992,,24.64,,1,2,1,,,,,,101.453,13.565,4403982.5,392532.375,0,0,0,0,0,0,1,1,4,,,,,,,,,,,,,,5.088
2010,"ABW","AIA",533,660,1,1,-4,-4,0,983.268,976.897,983.268,976.892,1,0,1,0,,0,1,,1,2,0,0,0,0,0,0,0,,,"",0,0,,,101.597,,2467703.808,,24.289,,1,,1,,,,,,101.669,13.769,3957929,370585.812,0,0,0,0,0,0,1,1,4,,,,,,,,,,,,,,5.088
2011,"ABW","AIA",533,660,1,1,-4,-4,0,983.268,976.897,983.268,976.892,1,0,1,0,,0,1,,1,2,0,0,0,0,0,0,0,,,"",0,0,,,101.932,,2584463.616,,25.355,,1,,1,,3671232.222,,35.974,,102.053,13.951,3813092.5,376863.969,0,0,0,0,0,0,1,1,4,,,,,,,,,,,,,,5.088
2012,"ABW","AIA",533,660,1,1,-4,-4,0,983.268,976.897,983.268,976.892,1,0,1,0,,0,1,,1,2,0,0,0,0,0,0,0,,,"",0,0,,,102.384,,,,,,1,,,,,,,,102.577,14.129,3773461.75,356917.938,0,0,0,0,0,0,1,1,4,,,,,,,,,,,,,,5.088
2013,"ABW","AIA",533,660,1,1,-4,-4,0,983.268,976.897,983.268,976.892,1,0,1,0,,0,1,,1,2,0,0,0,0,0,0,0,,,"",0,0,,,102.911,,,,,,1,,,,,,,,103.187,14.299,3872761.5,352031.219,0,0,0,0,0,0,1,1,4,,,,,,,,,,,,,,5.088
2014,"ABW","AIA",533,660,1,1,-4,-4,0,983.268,976.897,983.268,976.892,1,0,1,0,,0,1,,1,2,0,0,0,0,0,0,0,,,"",0,0,,,103.795,,,,,,1,,,,,,,,103.795,14.459,3920099.5,374633.656,0,0,0,0,0,0,1,1,4,,,,,,,,,,,,,0.045,5.133
2015,"ABW","AIA",533,660,1,1,-4,-4,0,983.268,976.897,983.268,976.892,1,0,1,0,,0,1,,1,2,0,0,0,0,0,0,0,,,"",0,0,,,104.341,,,,,,1,,,,,,,,104.341,14.611,3959138.25,386110.281,0,0,0,0,0,0,1,1,4,,,,,,,,,,,,,,5.088
2016,"ABW","AIA",533,660,1,1,-4,-4,0,983.268,976.897,983.268,976.892,1,0,1,0,,0,1,,1,2,0,0,0,0,0,0,0,,,"",0,0,,,104.822,,,,,,1,,,,,,,,104.822,14.764,3867489.75,366199.562,0,0,0,0,0,0,1,1,4,,,,,,,,,,,,,,5.088
2017,"ABW","AIA",533,660,1,1,-4,-4,0,983.268,976.897,983.268,976.892,1,0,1,0,,0,1,,1,2,0,0,0,0,0,0,0,,,"",0,0,,,105.366,,3056424.581,,29.008,,,,,,4050523.376,,38.442,,105.264,14.909,3914103.5,336493.688,0,0,0,0,0,0,1,1,4,,,,,,,,,,,,,,5.088
2018,"ABW","AIA",533,660,1,1,-4,-4,0,983.268,976.897,983.268,976.892,1,0,1,0,,0,1,,1,2,0,0,0,0,0,0,0,,,"",0,0,,,105.845,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,1,1,4,,,,,,,,,,,,,,5.088
2019,"ABW","AIA",533,660,1,1,-4,-4,0,983.268,976.897,983.268,976.892,1,0,1,0,,0,1,,1,2,0,0,0,0,0,0,0,,,"",0,0,,,106.314,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,1,1,4,,,,,,,,,,,,,,5.088
1997,"ABW","AND",533,20,1,1,-4,1,0,7572.788,7570.084,7572.788,7570.083,1,1,0,0,0.853,0,1,1,1,1,1,1,0,0,0,0,0,,,"",0,0,,,85.447,64.09,1531843.584,1180646.016,17.927,18.422,1,1,1,1,,,,,85.451,,3958321.25,,0,0,0,0,0,0,0,0,6,,,,,,,,,,1.174,1.04,1.04,,
1988,"ABW","ANT",533,530,1,1,-4,-4,0,136.385,239.906,136.385,142.858,1,1,1,1,0.757,0,1,1,1,1,1,1,0,0,0,0,0,,,"NLD",1,1,,0,61.077,247.765,,,,,1,2,,,,,,,61.079,,1981385.125,,0,0,0,0,0,0,1,1,4,,,,,,,,,13096.616,9660.75,,,,9661
1989,"ABW","ANT",533,530,1,1,-4,-4,0,136.385,239.906,136.385,142.858,1,1,1,1,0.757,0,1,1,1,1,1,1,0,0,0,0,0,,,"NLD",1,1,,0,61.032,248.661,,,,,1,2,,,,,,,61.032,,2276788.25,,0,0,0,0,0,0,1,1,4,,,,,,,,,10476.509,18950.736,,,,18951
1990,"ABW","ANT",533,530,1,1,-4,-4,0,136.385,239.906,136.385,142.858,1,1,1,1,0.757,0,1,1,1,1,1,1,0,0,0,0,0,,,"NLD",1,1,,0,62.148,250.935,,,,,1,2,,,,,,,62.149,,2412750,,0,0,0,0,0,0,1,1,4,,,,,,,,,11110.014,11302.165,,,,11301
1991,"ABW","ANT",533,530,1,1,-4,-4,0,136.385,239.906,136.385,142.858,1,1,1,1,0.757,0,1,1,1,1,1,1,0,0,0,0,0,,,"NLD",1,1,,0,64.623,254.762,,,,,1,2,,,,,,,64.622,,2216297.5,,0,0,0,0,0,0,1,1,4,,,,,,,,,4640.743,6953.686,,,,6953.631
1992,"ABW","ANT",533,530,1,1,-4,-4,0,136.385,239.906,136.385,142.858,1,1,1,1,0.757,0,1,1,1,1,1,1,0,0,0,0,0,,,"NLD",1,1,,0,68.235,260.236,,,,,1,2,,,,,,,68.235,,2977462.5,,0,0,0,0,0,0,1,1,4,,,,,,,,,,8537.316,,,,8537
1993,"ABW","ANT",533,530,1,1,-4,-4,0,136.385,239.906,136.385,142.858,1,1,1,1,0.757,0,1,1,1,1,1,1,0,0,0,0,0,,,"NLD",1,1,,0,72.498,266.993,,,,,1,2,,,,,,,72.504,,3312827.75,,0,0,0,0,0,0,1,1,4,,,,,,,,,,7175.831,,,,7175.419
